MAKE,MODEL,MODEL_YR,BODY_STYLE,VEHICLE_TYPE,DRIVE_TRAIN,NUM_OF_SEATING,MIN_GROSS_WEIGHT,MAX_GROSS_WEIGHT,FRNT_VIN,CURB_WEIGHT,SIDE_VIN,POLE_VIN,ROLLOVER_POSSIBILITY,STATIC_STABI_FACTOR,ROLLOVER_STARS,NHTSA_BACKUP_CAMERA,BACKUP_CAMERA,PK,SK
FORD,EXPLORER HEV,2026,SUV,MPV,RWD,7,6840,6840,1FMUK8DHXSGA14990,3813,1FMSK7BHXLGB60649,1FM5K7FW9LGA90809,0.147,1.28,4,,,FORD#EXPLORER HEV,2026#SUV
FORD,F-150 (REGULAR CAB) GAS,2026,PU/RC,TRUCK,4WD,3,6220,7100,1FTFX1E59MKD16393,5082,1FTEX1CB9MKD13174,1FTEX1CB8MFA46974,0.191,1.19,4,,,FORD#F-150 (REGULAR CAB) GAS,2026#PU/RC
FORD,F-150 (REGULAR CAB) GAS,2026,PU/RC,TRUCK,RWD,3,6220,7100,1FTFX1E59MKD16393,5082,1FTEX1CB9MKD13174,1FTEX1CB8MFA46974,0.164,1.24,4,,,FORD#F-150 (REGULAR CAB) GAS,2026#PU/RC
FORD,F-150 (SUPER CAB) GAS,2026,PU/EC,TRUCK,4WD,6,6365,7100,1FTFX1E59MKD16393,5082,1FTEX1CB9MKD13174,1FTEX1CB8MFA46974,0.191,1.19,4,,,FORD#F-150 (SUPER CAB) GAS,2026#PU/EC
FORD,F-150 (SUPER CAB) GAS,2026,PU/EC,TRUCK,RWD,6,6365,7100,1FTFX1E59MKD16393,5082,1FTEX1CB9MKD13174,1FTEX1CB8MFA46974,0.164,1.24,4,,,FORD#F-150 (SUPER CAB) GAS,2026#PU/EC
FORD,F-150 (SUPER CREW) GAS,2026,PU/CC,TRUCK,4WD,6,6650,7200,1FTFW1E88MKD13191,5128,1FTEW1CP0MKD89798,1FTEW1CP0MFA67235,0.191,1.19,4,,,FORD#F-150 (SUPER CREW) GAS,2026#PU/CC
FORD,F-150 (SUPER CREW) GAS,2026,PU/CC,TRUCK,RWD,6,6650,7200,1FTFW1E88MKD13191,5128,1FTEW1CP0MKD89798,1FTEW1CP0MFA67235,0.164,1.24,4,,,FORD#F-150 (SUPER CREW) GAS,2026#PU/CC
FORD,F-150 (SUPER CREW) HEV,2026,PU/CC,TRUCK,4WD,6,7400,7400,1FTFW1ED8NFA71235,5724,1FTFW1CD5NFA88271,1FTFW1CD5NFA03140,0,1.2,4,,,FORD#F-150 (SUPER CREW) HEV,2026#PU/CC
FORD,F-150 (SUPER CREW) LIGHTNING BEV,2026,PU/CC,TRUCK,4WD,5,8430,8600,1FTVW1EL2NWG16221,6294,1FTVW1EL5NWG16360,1FTVW1EL0NWG15052,0.127,1.34,4,,,FORD#F-150 (SUPER CREW) LIGHTNING BEV,2026#PU/CC
FORD,F-250 (CREW CAB),2026,PU/CC,TRUCK,4WD,6,9900,11400,,,,,0,0,,,,FORD#F-250 (CREW CAB),2026#PU/CC
